"game","division","rally_in_game","rally_cum","shot_index","hitter_name","hitter_uuid","shot_type","rally_note","serve_time_s"
"1","womens","1","1","1","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","serve","Shot 6: dink volley but not speed up, Shot 19: dink volley but not speed up, ended on smash out","10.33"
"1","womens","1","1","2","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","return","",""
"1","womens","1","1","3","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","drop","",""
"1","womens","1","1","4","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","dink","",""
"1","womens","1","1","5","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","dink","",""
"1","womens","1","1","6","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","other","",""
"1","womens","1","1","7","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","dink","",""
"1","womens","1","1","8","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","dink","",""
"1","womens","1","1","9","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","speed-up","",""
"1","womens","1","1","10","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","smash","",""
"1","womens","1","1","11","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","counter","",""
"1","womens","1","1","12","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","smash","",""
"1","womens","1","1","13","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","counter","",""
"1","womens","1","1","14","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","smash","",""
"1","womens","1","1","15","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","counter","",""
"1","womens","1","1","16","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","dink","",""
"1","womens","1","1","17","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","dink","",""
"1","womens","1","1","18","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","dink","",""
"1","womens","1","1","19","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","other","",""
"1","womens","1","1","20","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","dink","",""
"1","womens","1","1","21","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","speed-up","",""
"1","womens","1","1","22","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","counter","",""
"1","womens","1","1","23","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","smash","",""
"1","womens","1","1","24","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","counter","",""
"1","womens","1","1","25","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","smash","",""
"1","womens","2","2","1","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","serve","shot 11: forced error from Tuionetoa","40.64"
