rally,t,ang,claimed,truth,dy_pre,dy_post,sp_pre,sp_post,sp_ratio
17,428.417,128.9,1,CONTACT,378.1,16.8,587.7,429.4,0.73
17,429.334,157.4,0,CONTACT,505.0,-1149.5,531.3,1392.0,2.62
17,430.3,123.2,1,BOUNCE,284.1,-348.2,328.8,360.5,1.1
17,431.484,143.7,1,CONTACT,442.2,-256.3,490.6,717.6,1.46
17,432.117,165.0,1,CONTACT,114.6,117.0,468.3,431.5,0.92
17,432.434,172.4,1,WOBBLE,-295.3,229.7,306.6,234.9,0.77
17,432.817,137.7,1,CONTACT,589.2,-507.6,590.1,704.6,1.19
17,433.35,39.1,1,BOUNCE,81.3,-156.0,221.4,390.9,1.77
17,433.817,15.0,1,CONTACT,17.5,-92.7,180.2,183.1,1.02
17,434.8,102.5,0,CONTACT,-124.6,-607.1,233.6,636.5,2.73
17,435.284,61.6,1,WOBBLE,-302.0,-56.9,326.0,177.1,0.54
17,435.684,101.8,1,BOUNCE,140.5,-189.8,192.4,215.5,1.12
17,436.217,47.0,1,CONTACT,-259.3,-354.7,259.3,512.3,1.98
17,437.217,179.3,1,CONTACT,649.4,-749.7,729.4,834.5,1.14
17,437.567,95.7,0,BOUNCE,137.9,-519.3,159.7,519.5,3.25
17,438.034,160.6,1,CONTACT,253.7,-147.0,368.9,307.1,0.83
17,438.784,179.5,1,CONTACT,747.9,-838.9,748.1,840.8,1.12
17,439.217,171.2,1,CONTACT,-294.4,127.2,304.8,127.4,0.42
17,439.684,27.2,1,CONTACT,570.9,504.6,575.2,534.5,0.93
17,440.4,113.3,1,CONTACT,-110.0,-191.3,188.1,293.0,1.56
17,440.9,5.1,1,WOBBLE,-42.8,-411.5,157.2,1077.4,6.85
17,441.4,142.0,0,WOBBLE,351.1,-198.8,351.2,340.3,0.97
17,441.967,112.4,1,WOBBLE,-379.9,107.0,464.0,133.5,0.29
