player,gender,list_price,market_price,market_min,market_max,ratio,runs_at_floor,n_runs,avg_team_price,avg_team_ratio
Anna Leigh Waters,F,769149,850000,850000,850000,1.105,0,3,850000,1.105
Anna Bright,F,613277,759623,755641,763443,1.239,0,3,697274,1.137
Parris Todd,F,489271,576341,573641,578169,1.178,0,3,547010,1.118
Jorja Johnson,F,475477,558667,552022,563131,1.175,0,3,538487,1.133
Ben Johns,M,474208,545319,539400,551166,1.15,0,3,501230,1.057
Kate Fahey,F,453467,524568,519117,529372,1.157,0,3,501459,1.106
Jade Kawamoto,F,443700,521407,520571,521918,1.175,0,3,489032,1.102
JW Johnson,M,430490,486902,482915,492621,1.131,0,3,457758,1.063
Hayden Patriquin,M,421368,472285,466287,477782,1.121,0,3,441724,1.048
Rachel Rohrabacher,F,421167,483976,481807,485148,1.149,0,3,472039,1.121
Tina Pisnik,F,416294,488437,487209,490100,1.173,0,3,462415,1.111
Gabriel Tardio,M,408944,458172,450976,466119,1.12,0,3,434237,1.062
Christian Alshon,M,400103,454449,453080,456250,1.136,0,3,428707,1.071
Jackie Kawamoto,F,390598,451287,448949,454600,1.155,0,3,457768,1.172
Tyra Hurricane Black,F,386188,446511,441509,452574,1.156,0,3,443615,1.149
Sofia Sewing,F,349700,408865,408132,409648,1.169,0,3,401568,1.148
Danni-Elle Townsend,F,325092,390475,386057,394418,1.201,0,3,379303,1.167
Andrei Daescu,M,323078,367779,364747,369390,1.138,0,3,355662,1.101
Federico Staksrud,M,315164,355810,353323,360056,1.129,0,3,343883,1.091
Eric Oncins,M,306646,349709,347329,351510,1.14,0,3,334859,1.092
Mari Humberg,F,302518,362464,357441,368096,1.198,0,3,352747,1.166
Jay Devilliers,M,288281,325582,324992,326053,1.129,0,3,319086,1.107
Vivian Glozman,F,270520,314270,312883,316593,1.162,0,3,327075,1.209
Catherine Parenteau,F,266553,306800,305895,307570,1.151,0,3,321236,1.205
Riley Newman,M,250966,288801,285725,292067,1.151,0,3,,
Bobbi Oshiro,F,247342,291787,290849,292694,1.18,0,3,,
Jack Sock,M,225896,251066,250421,251819,1.111,0,3,,
Lacy Schneemann,F,224546,252169,250612,253529,1.123,0,3,,
Chao Yi Wang,F,215626,238973,236368,242269,1.108,0,3,,
Phuc Huynh,M,209725,226928,224900,228035,1.082,0,3,,
Thomas Wilson,M,208819,246069,245961,246220,1.178,0,3,,
Vivienne David,F,204188,229301,227172,231939,1.123,0,3,,
Quang Duong,M,203181,212998,211933,213936,1.048,0,3,,
Sahra Dennehy,F,202597,214085,213366,215158,1.057,0,3,,
Connor Garnett,M,202053,212751,211389,214013,1.053,0,3,,
Nicolas Acevedo,M,186990,214509,213014,215548,1.147,0,3,,
Etta Tuionetoa,F,186930,209695,209426,209960,1.122,0,3,,
Robert Slutsky,M,185359,193957,192435,196292,1.046,0,3,,
Noe Khlif,M,177727,182721,181939,183942,1.028,0,3,,
Ewa Radzikowska,F,176459,195542,193672,197114,1.108,0,3,,
Meghan Dizon,F,170599,190423,189188,191795,1.116,0,3,,
Jack Munro,M,166531,170627,169231,172354,1.025,0,3,,
Leigh Waters,F,157026,161705,160795,162891,1.03,0,3,,
Allyce Jones,F,154106,165081,164231,165576,1.071,0,3,,
Will Howells,M,153744,151827,151212,152308,0.988,0,3,,
Jillian Braverman,F,148669,142379,141710,142975,0.958,0,3,,
Layne Sleeth,F,146978,134274,134021,134618,0.914,0,3,,
Yana Newell,F,143856,143525,142768,144252,0.998,0,3,,
Bruno Faletto,M,141178,136118,134435,138304,0.964,0,3,,
Hunter Johnson,M,136848,116063,114415,117491,0.848,0,3,,
Brooke Buckner,F,134331,95665,95583,95733,0.712,0,3,,
Dylan Frazier,M,132640,119713,117265,121521,0.903,0,3,,
Vanshik Kapadia,M,132036,137921,135663,139830,1.045,0,3,,
Alix Truong,F,131955,123851,122786,125512,0.939,0,3,,
Armaan Bhatia,M,129619,117839,116930,119477,0.909,0,3,,
Yuta Funemizu,M,118866,117709,116770,118638,0.99,0,3,,
Lea Jansen,F,117194,73535,71758,75069,0.627,0,3,,
Dekel Bar,M,111435,109959,108655,112232,0.987,0,3,,
CJ Klinger,M,111113,102709,100631,106236,0.924,0,3,,
Roscoe Bellamy,M,107146,77860,76679,78787,0.727,0,3,,
Judit Castillo,F,106240,56011,55698,56224,0.527,0,3,,
Augustus Ge,M,102273,85406,82796,87675,0.835,0,3,,
Ting Chieh Wei,F,102112,69488,68170,70343,0.681,0,3,,
Carlota Trevino,F,100803,59655,58221,60654,0.592,0,3,,
Jaume Martinez Vich,M,99554,64663,63498,66349,0.65,0,3,,
Samantha Parker,F,98769,52734,52343,53242,0.534,0,3,,
Roos Van Reek,F,96091,40124,38032,41884,0.418,0,3,,
Christopher Haworth,M,94741,96721,93866,98425,1.021,0,3,,
Oscar Serra,M,91842,67938,67547,68342,0.74,0,3,,
Jessie Irvine,F,88680,54505,53372,55206,0.615,0,3,,
Isabella Dunlap,F,88499,33891,33821,33992,0.383,0,3,,
Kaitlyn Christian,F,87069,62733,60060,65962,0.72,0,3,,
Thomas Yu,M,84109,47828,46863,49144,0.569,0,3,,
John Lucian Goins,M,83424,51511,50417,53620,0.617,0,3,,
Milan Rane,F,83142,30473,30140,30938,0.367,2,3,,
George Wall,M,82599,65349,63643,66778,0.791,0,3,,
Maggie Brascia,F,81370,45469,44185,46478,0.559,0,3,,
Estee Widdershoven,F,79900,32303,31534,32799,0.404,0,3,,
Marianna Petrei,F,79457,39913,38248,41917,0.502,0,3,,
