division,player_1,player_2,pid_1,pid_2,S,U,p_beats_avg_pair
MD,Ben Johns,JW Johnson,6f862c1d-1317-4fe7-bdcd-64caa0dbb088,bd061b42-2f82-4bbe-82be-d8bcfb37f9e1,2.1941,0.01532,0.9376
MD,Ben Johns,Hayden Patriquin,6f862c1d-1317-4fe7-bdcd-64caa0dbb088,fc05556e-3e38-4a38-99c2-f855174a7c28,2.1881,0.01373,0.9367
MD,Ben Johns,Gabriel Tardio,6f862c1d-1317-4fe7-bdcd-64caa0dbb088,d50310a6-9378-4228-823f-7fb54f7bd698,2.1768,0.01338,0.9339
MD,JW Johnson,Hayden Patriquin,bd061b42-2f82-4bbe-82be-d8bcfb37f9e1,fc05556e-3e38-4a38-99c2-f855174a7c28,2.1648,0.01537,0.9296
MD,JW Johnson,Gabriel Tardio,bd061b42-2f82-4bbe-82be-d8bcfb37f9e1,d50310a6-9378-4228-823f-7fb54f7bd698,2.1535,0.01503,0.9265
MD,Hayden Patriquin,Gabriel Tardio,fc05556e-3e38-4a38-99c2-f855174a7c28,d50310a6-9378-4228-823f-7fb54f7bd698,2.1494,0.01343,0.926
MD,Ben Johns,Christian Alshon,6f862c1d-1317-4fe7-bdcd-64caa0dbb088,79a11da1-6aeb-4719-9b1e-9918e0163cec,2.11,0.01383,0.9134
MD,JW Johnson,Christian Alshon,bd061b42-2f82-4bbe-82be-d8bcfb37f9e1,79a11da1-6aeb-4719-9b1e-9918e0163cec,2.0867,0.01547,0.9044
MD,Hayden Patriquin,Christian Alshon,fc05556e-3e38-4a38-99c2-f855174a7c28,79a11da1-6aeb-4719-9b1e-9918e0163cec,2.0825,0.01388,0.9037
MD,Gabriel Tardio,Christian Alshon,d50310a6-9378-4228-823f-7fb54f7bd698,79a11da1-6aeb-4719-9b1e-9918e0163cec,2.0748,0.01353,0.901
MD,Ben Johns,Andrei Daescu,6f862c1d-1317-4fe7-bdcd-64caa0dbb088,581183e8-3d9e-459e-b69f-7337d8b6f3d2,2.0635,0.01342,0.8969
MD,JW Johnson,Andrei Daescu,bd061b42-2f82-4bbe-82be-d8bcfb37f9e1,581183e8-3d9e-459e-b69f-7337d8b6f3d2,2.0402,0.01506,0.8867
MD,Hayden Patriquin,Andrei Daescu,fc05556e-3e38-4a38-99c2-f855174a7c28,581183e8-3d9e-459e-b69f-7337d8b6f3d2,2.036,0.01347,0.8859
MD,Ben Johns,Eric Oncins,6f862c1d-1317-4fe7-bdcd-64caa0dbb088,52690a0c-ed4a-4e0b-bf69-4ef416cf7d55,2.0314,0.0139,0.8837
MD,Gabriel Tardio,Andrei Daescu,d50310a6-9378-4228-823f-7fb54f7bd698,581183e8-3d9e-459e-b69f-7337d8b6f3d2,2.0283,0.01312,0.8828
MD,JW Johnson,Eric Oncins,bd061b42-2f82-4bbe-82be-d8bcfb37f9e1,52690a0c-ed4a-4e0b-bf69-4ef416cf7d55,2.0082,0.01554,0.8728
MD,Hayden Patriquin,Eric Oncins,fc05556e-3e38-4a38-99c2-f855174a7c28,52690a0c-ed4a-4e0b-bf69-4ef416cf7d55,2.004,0.01395,0.8718
