player_id,full_name,gender,V_total,phi,phi_se,n
6f862c1d-1317-4fe7-bdcd-64caa0dbb088,Ben Johns,M,0.26913,0.21457,0.00135,2773
bd061b42-2f82-4bbe-82be-d8bcfb37f9e1,JW Johnson,M,0.24476,0.19448,0.00123,2761
fc05556e-3e38-4a38-99c2-f855174a7c28,Hayden Patriquin,M,0.24038,0.18893,0.00123,2762
79a11da1-6aeb-4719-9b1e-9918e0163cec,Christian Alshon,M,0.23347,0.18024,0.00117,2743
d50310a6-9378-4228-823f-7fb54f7bd698,Gabriel Tardio,M,0.23334,0.18327,0.00120,2753
7edb882c-6d17-4129-8208-710e3c82364c,Federico Staksrud,M,0.19347,0.13806,0.00096,2751
581183e8-3d9e-459e-b69f-7337d8b6f3d2,Andrei Daescu,M,0.19027,0.14194,0.00101,2749
52690a0c-ed4a-4e0b-bf69-4ef416cf7d55,Eric Oncins,M,0.18529,0.13465,0.00097,2741
295e343a-31a0-4e1d-a286-d62592291435,Jay Devilliers,M,0.17751,0.12518,0.00093,2766
3a43c56f-b9d8-4e72-ae8a-58fd69291946,Jack Sock,M,0.14895,0.09469,0.00079,2751
05b194b3-db88-4f77-a26f-5ef5cfbf6146,Riley Newman,M,0.14840,0.10792,0.00087,2759
ff38654d-daae-4bad-a1a7-690e4e5706eb,Connor Garnett,M,0.13687,0.08302,0.00072,2754
14d61e81-14d5-4cb3-ae33-d427fbc1b4f6,Quang Duong,M,0.13505,0.08330,0.00072,2742
0763ffeb-1b1f-41c5-ab37-d17b66e50b50,Phuc Huynh,M,0.13427,0.08640,0.00076,2746
1bb8b2c1-ca6f-45ac-afdd-fab7e77d69d4,Noe Khlif,M,0.12329,0.07141,0.00067,2756
f6fa549d-8a9c-46fd-aeb8-af8a3f0f7a59,Robert Slutsky,M,0.12106,0.07546,0.00071,2763
12d79cbe-b5c7-4504-ab8f-f352a6bb8629,Thomas Wilson,M,0.11725,0.08779,0.00079,2734
d0f19d1e-2a6e-4eb3-b10c-1311edd599a8,Will Howells,M,0.11025,0.06016,0.00062,2758
f90428f0-e4a3-4a08-a664-518ba7f188d2,Jack Munro,M,0.10789,0.06560,0.00067,2774
a000a067-1bf1-442f-a961-e6c97cb50006,Nicolas Acevedo,M,0.10514,0.07802,0.00076,2751
8160ad59-4654-46b1-b229-8d5f2a9a45f9,Hunter Johnson,M,0.10151,0.05211,0.00046,2743
1de884f8-7bf7-4b49-9de8-3f1fd74cabd6,Dylan Frazier,M,0.10012,0.04933,0.00053,2767
34049405-b415-4f3a-aade-5be0111ac7db,Bruno Faletto,M,0.09797,0.05428,0.00061,2755
33292af3-984d-4752-8d18-b3a5c147e9fe,Armaan Bhatia,M,0.09420,0.04870,0.00056,2747
925c1306-6b3b-4510-8482-f34168a0842a,Roscoe Bellamy,M,0.08509,0.03759,0.00039,2759
6866df42-48ad-423c-9e57-d7d4d6fb66ef,Vanshik Kapadia,M,0.07945,0.05048,0.00062,2734
cc8832b9-9a8f-4cbc-8eff-b20e9a7ff09a,Jaume Martinez Vich,M,0.07819,0.03351,0.00033,2756
ba491f1c-0112-47a8-a348-4695289e958a,Augustus Ge,M,0.07754,0.03581,0.00047,2744
ead35052-7367-4296-96d4-064f546cc2b9,CJ Klinger,M,0.07698,0.04065,0.00053,2749
ce4f0e14-80ea-4ed0-a81c-7341d356d427,Yuta Funemizu,M,0.07594,0.04413,0.00057,2745
2c2a2b82-9ec7-4046-97cb-3a199ed507af,Oscar Serra,M,0.06794,0.03059,0.00042,2775
8c94d7b2-0dce-455e-916f-e35927d53547,Thomas Yu,M,0.06661,0.02647,0.00034,2779
89843e44-48fd-4a3f-b8c0-5f5aa6ae5741,Dekel Bar,M,0.06527,0.04110,0.00055,2752
e96d9339-cfb6-473d-bcb3-23f2887a3e0f,John Lucian Goins,M,0.06403,0.02498,0.00025,2752
a91e2b68-7357-4518-baf9-f59b0b4c2477,Christopher Haworth,M,0.06394,0.02851,0.00031,2745
