t_s,excitement_z,track,wrist_x,wrist_y,paddle_x,paddle_y
164.797,2.31,3,467.7,124.6,466.9,133.0
165.297,3.2,3,444.5,125.3,441.4,131.1
165.663,2.47,3,433.4,99.2,426.5,100.7
166.03,1.6,3,486.3,88.8,486.3,88.8
166.83,2.11,0,1082.1,645.0,1103.0,651.8
167.597,1.54,2,649.7,367.9,645.5,377.2
168.33,1.82,1,676.1,122.2,671.9,126.2
169.047,1.68,0,457.9,367.1,455.5,375.3
169.547,2.5,2,702.0,360.1,704.4,368.5
169.997,1.94,1,761.9,206.3,769.3,210.4
170.513,2.9,1,786.7,213.4,787.1,220.9
171.613,2.39,3,533.7,154.2,541.7,148.6
172.113,3.48,0,498.0,386.2,507.8,387.4
172.58,4.08,0,330.7,454.8,327.9,469.6
173.013,1.44,1,680.6,156.7,677.5,152.1
173.363,2.24,1,735.4,206.8,738.2,212.0
173.78,1.8,2,860.0,510.0,844.3,507.7
174.147,2.69,2,1111.9,703.1,1114.0,723.1
174.513,5.17,2,1206.5,704.1,1197.4,716.2
174.947,1.79,3,627.0,180.9,631.4,187.5
175.397,4.17,3,653.9,152.5,658.8,155.6
175.813,2.46,3,672.9,150.7,676.8,155.1
176.33,2.78,1,700.4,135.3,704.7,139.2
176.897,1.71,1,736.0,135.6,740.8,140.7
177.263,1.84,1,733.0,137.9,732.6,146.5
177.913,1.77,0,955.2,515.9,956.3,529.7
178.363,1.92,1,770.0,115.4,773.4,122.7
180.73,2.75,1,680.9,197.1,683.7,205.3
181.097,4.68,1,662.2,183.9,662.6,192.1
183.48,2.0,1,696.0,90.3,695.7,85.0
