window,rank,cell
w01.png,1,2
w01.png,2,4
w01.png,3,9
w01.png,4,13
w01.png,5,17
w01.png,6,22
w02.png,1,2
w02.png,2,4
w02.png,3,6
w02.png,4,9
w03.png,1,6
w03.png,2,11
w03.png,3,12
w03.png,4,17
w03.png,5,21
w03.png,6,25
w04.png,1,1
w04.png,2,6
w04.png,3,13
w04.png,4,17
w04.png,5,22
w04.png,6,25
w05.png,1,11
w05.png,2,13
w05.png,3,16
w05.png,4,19
w05.png,5,23
w06.png,1,6
w06.png,2,11
w06.png,3,13
w06.png,4,18
w06.png,5,22
w07.png,1,3
w07.png,2,8
w07.png,3,13
w07.png,4,18
w07.png,5,23
w08.png,1,3
w08.png,2,8
w08.png,3,11
w08.png,4,16
w08.png,5,21
w09.png,1,3
w09.png,2,8
w09.png,3,13
w09.png,4,18
w09.png,5,22
w10.png,1,4
w10.png,2,9
w10.png,3,13
w10.png,4,17
w10.png,5,22
w11.png,1,1
w11.png,2,6
w11.png,3,11
w11.png,4,13
w11.png,5,18
w11.png,6,23
w12.png,1,17
w12.png,2,22
w13.png,1,2
w13.png,2,7
w13.png,3,12
w13.png,4,17
w13.png,5,22
