window,rank,cell
w01.png,1,1
w01.png,2,8
w01.png,3,13
w01.png,4,19
w01.png,5,22
w01.png,6,26
w01.png,7,31
w02.png,1,3
w02.png,2,9
w02.png,3,14
w02.png,4,19
w02.png,5,25
w02.png,6,29
w02.png,7,33
w03.png,1,21
w03.png,2,24
w03.png,3,33
w04.png,1,4
w04.png,2,10
w04.png,3,15
w04.png,4,21
w04.png,5,26
w04.png,6,32
w05.png,1,31
w05.png,2,34
w06.png,1,20
w06.png,2,26
w06.png,3,31
w06.png,4,34
w07.png,1,4
w07.png,2,9
w07.png,3,14
w07.png,4,20
w07.png,5,25
w07.png,6,31
w08.png,1,3
w08.png,2,9
w08.png,3,14
w08.png,4,20
w08.png,5,26
w08.png,6,32
w09.png,1,5
w09.png,2,11
w09.png,3,28
w09.png,4,34
